0;0;Grundwortschatz;german-spanish-base;Spanische Grundbegriffe, die dir im Alltag helfen können. Kennst du alle von ihnen?
0;1;Farben;german-spanish-colors;Mach dein Leben más colorido - Diese Übung enthält die wichtigsten Farben auf Spanisch.
0;2;Zahlen;german-spanish-numbers;Uno, dos, tres, cuatro! Mit dieser Übung kannst du bei jedem Pitbull-Song mitsingen.
0;3;Wochentage;german-spanish-weekdays;Schonwieder lunes? Naja, miércoles ist Bergfest und bald kommt dann auch wieder el viernes. Alle Wochentage auf Spanisch.
0;4;Monate;german-spanish-months;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;5;Verben;german-spanish-verbs;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;6;Adjektive;german-spanish-adjectives;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;7;Wirtschaftliche Begriffe;german-spanish-economic;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;8;Wegbeschreibung;german-spanish-paths;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;9;Umwelt;german-spanish-environment;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;10;Tiere;german-spanish-animals;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;11;Alltagsgegenstände und Einkaufswaren;german-spanish-grocery;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;12;Körperteile;german-spanish-body;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;13;Kleidung;german-spanish-clothing;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;14;Länder;german-spanish-countries;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;15;Früchte und Gemüse;german-spanish-fruits;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
0;16;Berufe;german-spanish-jobs;Zu dieser Übung gibt es noch keine passende Beschreibung. Sie wird vermutlich später noch hinzugefügt.
